added_edge_correction_rel_max,added_edge_correction_rel_median,added_edge_correction_rel_p90,added_edge_fraction,added_edge_negative_lambda_fraction,assembly_seconds,boundary_band_live,boundary_edge_correction_rel_max,boundary_edge_correction_rel_median,boundary_edge_correction_rel_p90,boundary_edge_fraction,boundary_edge_negative_lambda_fraction,cloud_seconds,cls_regularization,comparator_id,condition_estimate,constraint_resid_inf,constraint_resid_l2,core_edge_correction_rel_max,core_edge_correction_rel_median,core_edge_correction_rel_p90,core_edge_fraction,core_edge_negative_lambda_fraction,correction_abs_max,correction_abs_median,correction_rel_l2,correction_rel_max,correction_rel_median,correction_rel_p90,domain,effective_weight_added_edge_median,effective_weight_added_edge_p90,effective_weight_boundary_edge_median,effective_weight_boundary_edge_p90,effective_weight_core_edge_median,effective_weight_core_edge_p90,effective_weight_median,effective_weight_original_boundary_edge_median,effective_weight_original_boundary_edge_p90,effective_weight_original_core_edge_median,effective_weight_original_core_edge_p90,effective_weight_original_edge_median,effective_weight_original_edge_p90,effective_weight_p90,h,l2,lambda_ratio_median,linf,max_local_cond,max_reproduction_defect,median_local_cond,median_local_sigma_min,median_selected_neighbors,method,n_added_edges,n_edges,n_points,negative_lambda_fraction,original_boundary_edge_correction_rel_max,original_boundary_edge_correction_rel_median,original_boundary_edge_correction_rel_p90,original_boundary_edge_fraction,original_boundary_edge_negative_lambda_fraction,original_core_edge_correction_rel_max,original_core_edge_correction_rel_median,original_core_edge_correction_rel_p90,original_core_edge_fraction,original_core_edge_negative_lambda_fraction,original_edge_correction_rel_max,original_edge_correction_rel_median,original_edge_correction_rel_p90,original_edge_fraction,original_edge_negative_lambda_fraction,problem,protected_interface_nodes,seed,solve_seconds,total_seconds,trial,unstable
,,,,,0.04932716499999401,,,,,,,0.048541478999993615,,,46.90879655859273,,,,,,,,,,,,,,circle,,,,,,,,,,,,,,,0.16,0.4880262054529617,,1.414961493153696,21.060066385239924,,9.296786168216018,,,wls_strong,,,135,,,,,,,,,,,,,,,,,smooth_variable,,8102,0.0003700700000024426,0.09823871399999007,2,False
,,,,,0.15227988800000958,,,,,,,0.12558251100000462,1e-12,CLS-GFD-type-v1,53.12995799203976,,,,,,,,,,,,,,circle,,,,,,,,,,,,,,,0.16,0.24127239355826394,,0.6494388212597995,883.2648016466859,1.3041656643508759e-09,233.24442604054758,0.017868461734570684,26.0,cls_gfd,,,136,,,,,,,,,,,,,,,,,smooth_variable,,8101,0.0007146609999892917,0.2785770600000035,1,False
nan,nan,nan,0.0,nan,0.048021466999983886,0.0,4.553145701871835,0.6478777886823808,1.9615688983825947,0.625821876867902,0.37822349570200575,0.07113648500001091,,,200.17226159421276,1.1697788538603954e-10,6.009275398969298e-10,3.124652117878545,0.2699387530617513,1.900515239253334,0.37417812313209803,0.3003194888178914,0.9287062111496807,0.13984261309734353,0.6262463895813121,4.553145701871835,0.5238863558402592,1.9387696881677723,circle,nan,nan,5.183941225979183,20.430409497804824,6.512529574752927,28.335873024942742,5.711913774388701,5.183941225979183,20.430409497804824,6.512529574752927,28.335873024942742,5.711913774388701,25.780520990165176,25.780520990165176,0.16,0.24557509738749075,0.7930912071705543,0.45100853593753304,25.533676975810295,,9.540088581155091,,,ccpfm_flux,0,1673,136,0.34907352062163777,4.553145701871835,0.6478777886823808,1.9615688983825947,0.625821876867902,0.37822349570200575,3.124652117878545,0.2699387530617513,1.900515239253334,0.37417812313209803,0.3003194888178914,4.553145701871835,0.5238863558402592,1.9387696881677723,1.0,0.34907352062163777,smooth_variable,0,8103,0.0004303789999937635,0.11958833099998856,3,False
,,,,,0.10528240700000424,,,,,,,0.07309038600001827,1e-12,CLS-GFD-type-v1,40.10727648525428,,,,,,,,,,,,,,circle,,,,,,,,,,,,,,,0.16,0.2035589483790839,,0.5202618048624439,823.4999889751441,1.3542553745082841e-09,233.8116108254818,0.018776520879149185,30.0,cls_gfd,,,143,,,,,,,,,,,,,,,,,smooth_variable,,8104,0.000688873000001422,0.17906166600002393,4,False
nan,nan,nan,0.0,nan,0.16319021700002168,0.0,5.713281554507156,0.6889126978768012,2.0369020555580883,0.632788868723533,0.372848948374761,0.12188460099997656,,,199.49865017212528,1.3255139390613846e-10,6.03187428073622e-10,3.079448008243748,0.25883393349213035,1.854495644314646,0.36721113127646704,0.2981878088962109,1.0100052812489129,0.144248267047566,0.6236465037984912,5.713281554507156,0.5338225689779155,1.9744603828042495,circle,nan,nan,5.219090217851544,19.134531932982924,6.391691732356801,29.38899469957017,5.724975197824122,5.219090217851544,19.134531932982924,6.391691732356801,29.38899469957017,5.724975197824122,25.37587433431525,25.37587433431525,0.16,0.2218622597713578,0.8042069071464009,0.45235627856013916,26.486666970137815,,9.555253780194036,,,ccpfm_flux,0,1653,135,0.3454325468844525,5.713281554507156,0.6889126978768012,2.0369020555580883,0.632788868723533,0.372848948374761,3.079448008243748,0.25883393349213035,1.854495644314646,0.36721113127646704,0.2981878088962109,5.713281554507156,0.5338225689779155,1.9744603828042495,1.0,0.3454325468844525,smooth_variable,0,8102,0.0003806549999865183,0.28545547299998475,2,False
,,,,,0.08888460700001133,,,,,,,0.1227807010000106,,,78.02580442205951,,,,,,,,,,,,,,circle,,,,,,,,,,,,,,,0.16,0.5348096792236839,,1.6676208066780334,21.986423157725998,,9.31107726680262,,,wls_strong,,,136,,,,,,,,,,,,,,,,,smooth_variable,,8103,0.0005796799999870927,0.21224498800000902,3,False
,,,,,0.18929459399998905,,,,,,,0.12123816100000795,1e-12,CLS-GFD-type-v1,35.24017369623587,,,,,,,,,,,,,,circle,,,,,,,,,,,,,,,0.16,0.2343104903886808,,0.6788861565934012,760.4301341416839,1.198774413069259e-09,240.42535157262293,0.01703050517477267,26.0,cls_gfd,,,135,,,,,,,,,,,,,,,,,smooth_variable,,8102,0.001011201000011397,0.3115439560000084,2,False
,,,,,0.1340521760000115,,,,,,,0.12488688799999181,1e-12,CLS-GFD-type-v1,59.942600422421194,,,,,,,,,,,,,,circle,,,,,,,,,,,,,,,0.16,0.26372774262813375,,1.1955910815292348,1093.5005872105482,1.2069740762399306e-09,241.49425753499673,0.017557395124618666,30.0,cls_gfd,,,136,,,,,,,,,,,,,,,,,smooth_variable,,8103,0.0007493720000013582,0.2596884360000047,3,False
,,,,,0.10966507899999556,,,,,,,0.18545939000000544,,,27.556583869562697,,,,,,,,,,,,,,circle,,,,,,,,,,,,,,,0.16,0.41805205738650275,,2.948103417781839,21.09051467456429,,9.180769607188621,,,wls_strong,,,143,,,,,,,,,,,,,,,,,smooth_variable,,8104,0.004547871999989184,0.2996723409999902,4,False
,,,,,0.0832744570000159,,,,,,,0.1146937649999984,,,80.08132009508216,,,,,,,,,,,,,,circle,,,,,,,,,,,,,,,0.12,0.2030737059675364,,1.3198519176340775,21.086564171380903,,9.22298903941152,,,wls_strong,,,222,,,,,,,,,,,,,,,,,smooth_variable,,8100,0.0008062469999856603,0.19877446899999995,0,False
