domain,h,local_order_l2,median_assembly_seconds,median_condition,median_l2,median_linf,median_n_points,median_solve_seconds,method,problem,trials,unstable_count
ellipse,0.1,3.1772207064848264,0.08666309100226499,62.67490696469006,0.12093115609030544,0.6039763486333609,265.5,0.0014540714983013459,wls_strong,smooth_variable,10,0
ellipse,0.125,3.7966648456270695,0.056901101997937076,62.76669131712295,0.2457212436426211,1.5745356073496106,180.5,0.0008511840060236864,wls_strong,smooth_variable,10,0
ellipse,0.16,3.8327246903395533,0.030597241995565128,45.734010181641644,0.627311179884229,3.0248779690995793,120.0,0.00038045249675633386,wls_strong,smooth_variable,10,0
ellipse,0.2,nan,0.021234646999801043,34.45687144125657,1.4754089960349956,5.065141357442578,83.5,0.0002411559980828315,wls_strong,smooth_variable,10,1
star,0.1,2.1293533016045836,0.10612684000079753,127.55804447700648,0.054882512484204025,0.15046335783840964,240.0,0.001328986996668391,ccpfm_flux,smooth_variable,10,0
star,0.125,1.0100974128586107,0.07566578250407474,81.32790605009329,0.08826522670619354,0.2391289852190175,167.5,0.0006107814988354221,ccpfm_flux,smooth_variable,10,0
star,0.16,0.7265553839654315,0.048450596499606036,60.09163663460986,0.1132614595775625,0.269511742567627,117.0,0.0005178979990887456,ccpfm_flux,smooth_variable,10,0
star,0.2,nan,0.031301496499509085,27.455085552130683,0.13319644867760277,0.29044760300241595,84.0,0.0002612495081848465,ccpfm_flux,smooth_variable,10,0
star,0.1,1.677921867868242,0.07750656200369122,190.42187333668767,0.15620898599542493,1.638927132791085,240.0,0.0008996394972200505,wls_strong,smooth_variable,10,0
star,0.125,1.946290821559542,0.054309175502567086,57.65880597653255,0.22715036724489523,0.9972836770473101,167.5,0.0006026859919074923,wls_strong,smooth_variable,10,0
star,0.16,6.515002412509546,0.03071208400069736,36.66160816272827,0.3672613473880587,1.1241989583970893,117.0,0.0003497529905871488,wls_strong,smooth_variable,10,0
star,0.2,nan,0.017559171494212933,238.568788029757,1.5716078585005748,8.933478276004555,84.0,0.00026485350826987997,wls_strong,smooth_variable,10,2
