added_edge_correction_rel_max,added_edge_correction_rel_median,added_edge_correction_rel_p90,added_edge_fraction,added_edge_negative_lambda_fraction,assembly_seconds,boundary_edge_correction_rel_max,boundary_edge_correction_rel_median,boundary_edge_correction_rel_p90,boundary_edge_negative_lambda_fraction,boundary_split_factor,constraint_resid_inf,constraint_resid_l2,core_edge_correction_rel_max,core_edge_correction_rel_median,core_edge_correction_rel_p90,core_edge_negative_lambda_fraction,correction_abs_max,correction_abs_median,correction_rel_l2,correction_rel_max,correction_rel_median,correction_rel_p90,domain,family_seed,frac_err2_near_boundary_interior,frac_max_error_on_boundary,h_target,l2,l2_core_interior,l2_interior,l2_near_boundary_interior,lambda_ratio_median,linf,linf_core_interior,linf_interior,linf_near_boundary_interior,max_error_dist_boundary,max_error_idx,max_error_is_boundary,max_error_local_cond,max_error_local_sigma_min,max_error_region,max_error_x,max_error_y,max_local_cond,max_local_size,median_dist_boundary,median_local_cond,median_radius,min_local_sigma_min,n_added_edges,n_boundary,n_core_interior,n_edges,n_flagged_enrichment_nodes,n_interior,n_interior_eval,n_near_boundary_interior,n_original_edges,n_points,negative_lambda_fraction,operator,original_edge_correction_rel_max,original_edge_correction_rel_median,original_edge_correction_rel_p90,original_edge_fraction,original_edge_negative_lambda_fraction,patch_const_max,patch_quad_max,patch_x2h_max,patch_x_max,patch_xy_max,patch_y2h_max,patch_y_max,rms,rms_core_interior,rms_interior,rms_near_boundary_interior,solve_seconds,status,total_seconds,trial,unstable,unstable_reasons
nan,nan,nan,0.0,nan,0.27814327100350056,3.858449048073623,0.8184385948733539,1.9253716202342481,0.4129586260733802,2.0,1.1444213632305633e-12,8.321180098317934e-12,2.7393239065312445,0.19913279942033832,1.5652300384602047,0.2073490813648294,0.28005994789602406,0.04745395840951243,0.5649879069367735,3.858449048073623,0.677158114395737,1.8991802411439886,circle,1001,0.612645809599017,0.0,0.2,0.14567152673116127,0.1580163125554133,0.17469390562308584,0.18843271083970056,0.7096139788409639,0.3487749520115184,0.3487749520115184,0.3487749520115184,0.33273020828345135,0.42723351588663616,78,False,9.698057401506553,0.33505511466135185,interior_core,-0.4047986633208685,0.40521561044886667,25.79900150371311,55,0.3330876172749911,10.750133205605671,0.08159745955696322,0.19108472539966365,0,40,21,1662,0,56,56,35,1662,96,0.3658243080625752,ccpfm,3.858449048073623,0.677158114395737,1.8991802411439886,1.0,0.3658243080625752,1.021405182655144e-13,1.1627809826109115e-10,9.748946094845223e-11,4.0505293563697364e-11,6.044905548341362e-11,1.2728640363945942e-10,6.133371588390446e-11,0.12279231110380805,0.15391104048870552,0.16077287439764767,0.1647528524692101,0.00041958599467761815,ok,0.2785628569981782,1,False,
nan,nan,nan,0.0,nan,0.9825233129959088,5.094055455034545,0.7843268972204998,1.9141549514553593,0.3782716049382716,2.0,3.7850286056448357e-11,3.012101999013906e-10,2.657886113633588,0.3750429699948202,1.6530102159568982,0.30606973740852345,0.30294431547056544,0.05933599981624875,0.5896479815646445,5.094055455034545,0.585609911831077,1.7322579865779641,circle,1000,0.15100340965256356,0.0,0.1,0.054017910008674556,0.06359624588225356,0.058943757065682535,0.044025446546646495,0.6866123336506316,0.1472438171199476,0.1472438171199476,0.1472438171199476,0.0974329734771268,0.3953769567455178,197,False,9.291670490308125,0.2933360056042883,interior_core,0.40321202234597786,-0.45165371988522085,26.213592170809196,45,0.3224209933451369,9.468587888291717,0.04854809641553886,0.16792252030099908,0,79,146,4348,0,225,225,79,4348,304,0.33969641214351426,ccpfm,5.094055455034545,0.585609911831077,1.7322579865779641,1.0,0.33969641214351426,3.6415315207705135e-13,4.538908804363473e-09,3.6470906294994165e-09,2.8316371469827573e-09,4.082362892177116e-09,3.50627482603727e-09,2.7031781257846887e-09,0.04948277650825488,0.06392561265114069,0.05751744593207772,0.04324365393719883,0.0017245890048798174,ok,0.9842479020007886,0,False,
,,,,,0.17297567399509717,,,,,2.0,0.0,0.0,,,,,,,0.0,,,,circle,1001,0.2792341431928338,0.0,0.12,0.2009920059229473,0.2242187942945128,0.2233566509977958,0.22117642776444998,1.0,0.9312565192553433,0.9312565192553433,0.9312565192553433,0.6660257728897074,0.4642436282610464,195,False,71.24553504136671,0.036459066868750126,interior_core,0.4134739408891176,0.3411987147108959,136.78501808892963,23,0.31490631940383296,71.724213642254,0.0577968890155142,0.019147712235540876,,66,94,0,,154,154,60,,220,0.0,wls,,,,,,4.263256414560601e-14,2.7533531010703882e-14,1.609823385706477e-14,4.218847493575595e-14,1.6986412276764895e-14,1.0880185641326534e-14,2.842170943040401e-14,0.20383398836706582,0.23271065246575134,0.24362821445105107,0.25981164871627593,0.0014176300028339028,ok,0.17439330399793107,1,False,
nan,nan,nan,0.0,nan,0.35979439500079025,3.609871819558719,0.6697718498785776,1.8752374313740112,0.37767584097859325,2.0,1.897329515720969e-12,1.3783447160184208e-11,2.8243513081274734,0.294565681200856,1.5630086053109589,0.2488619119878604,0.32250620057329615,0.05032740664935412,0.557818000837614,3.609871819558719,0.5283736726283158,1.7499121093814933,circle,1001,0.3892568644689788,0.0,0.16,0.10323747551584643,0.12393718129253563,0.11877817428888264,0.11184090479897267,0.6822099503724085,0.26025086975109335,0.26025086975109335,0.26025086975109335,0.23796382432816543,0.44511608700469735,101,False,8.65154293543399,0.30527835555141025,interior_core,0.38056296845232707,0.40698780123287703,25.45670243120615,46,0.3001388866411137,9.875620668393235,0.06530214031049061,0.16563701547253998,0,50,41,1967,0,89,89,48,1967,139,0.33451957295373663,ccpfm,3.609871819558719,0.5283736726283158,1.7499121093814933,1.0,0.33451957295373663,1.787459069646502e-13,1.0860023991199341e-10,8.182499122710851e-11,1.073640065740733e-10,7.791906009302352e-11,9.030087788630681e-11,1.12591047596311e-10,0.08974914911881898,0.12316573977731676,0.11216122313010811,0.10182405986544132,0.0006227210105862468,ok,0.3604171160113765,1,False,
,,,,,0.3201201899937587,,,,,2.0,0.0,0.0,,,,,,,0.0,,,,circle,1001,0.2571137625941403,0.0,0.1,0.08852641303094404,0.09657449856393127,0.09644010688988387,0.09605493514555549,1.0,0.2565448906354468,0.25081652197970206,0.2565448906354468,0.2565448906354468,0.1253428302762672,134,False,115.27624756729031,0.023431133624062083,near_boundary_interior,0.3231488910010825,0.8127745315226524,212.78630646626638,23,0.3123500723819188,104.43947571207566,0.048534321044169985,0.012679773247332363,,79,150,0,,229,229,79,,308,0.0,wls,,,,,,6.306066779870889e-14,3.4638958368304884e-14,2.4868995751603507e-14,5.062616992290714e-14,2.398081733190338e-14,3.2862601528904634e-14,6.661338147750939e-14,0.08601092757590151,0.09786021737448426,0.09974961964970723,0.10324198037035523,0.002098511002259329,ok,0.322218700996018,1,False,
,,,,,0.4003332860011142,,,,,2.0,0.0,0.0,,,,,,,0.0,,,,circle,1001,0.17784485115073895,0.0,0.08,0.05200997894739662,0.056347930821438214,0.055621255521197316,0.05259316447262628,1.0,0.20707413904698835,0.20707413904698835,0.20707413904698835,0.1759164594746051,0.36007966324152907,394,False,144.1341682377257,0.016314036879915783,interior_core,0.36789111180253914,-0.5236411452715339,315.9990477952778,23,0.309817595828556,156.61280435810176,0.03919467342830018,0.00832981667843559,,99,256,0,,355,355,99,,454,0.0,wls,,,,,,1.2567724638756772e-13,5.129230373768223e-14,3.907985046680551e-14,9.947598300641403e-14,3.774758283725532e-14,6.972200594645983e-14,9.636735853746359e-14,0.05104269483058955,0.057509977657035825,0.05772279408647697,0.05826950378635707,0.003003742007422261,ok,0.40333702800853644,1,False,
nan,nan,nan,0.0,nan,0.7959843089920469,4.609005198059602,0.6674353122065747,1.8479846783571323,0.3449856733524355,2.0,1.5944412457002954e-11,9.580993524184705e-11,2.708823799171972,0.3443606663106541,1.6574019198444727,0.2789400278940028,0.29108611631911546,0.04864940854395372,0.5762084058945953,4.609005198059602,0.519306672474687,1.7312338503395448,circle,1001,0.16622692339665,0.0,0.12,0.09210548009704661,0.11051100534051458,0.10235417811048235,0.0782009355705141,0.7067514167486282,0.2781279784899603,0.2781279784899603,0.2781279784899603,0.17950272049499816,0.34150785790511,175,False,9.241364079226477,0.2875077754992578,interior_core,0.449610027681261,-0.48280309249940234,25.484411349343496,45,0.31490631940383296,9.41652091346753,0.0577968890155142,0.1683537213997924,0,66,94,3179,0,154,154,60,3179,220,0.31519345706196916,ccpfm,4.609005198059602,0.519306672474687,1.7312338503395448,1.0,0.31519345706196916,2.7355895326763857e-13,1.7895747106422277e-09,1.7340031632784303e-09,1.323662957020133e-09,1.4780627832777782e-09,1.3650254260255679e-09,1.1843912517406352e-09,0.08185694455136043,0.11111279686531418,0.09783776200048509,0.07229499991040494,0.0018289410072611645,ok,0.797813249999308,1,False,
nan,nan,nan,0.0,nan,1.553325134998886,4.1129474177748495,0.7974602629232213,1.862329350434813,0.4140986132511556,2.0,1.1610022665475839e-10,1.133728181862584e-09,2.8700514987443024,0.4216027601195449,1.6466107558800758,0.3174035267058523,0.2944674908802492,0.0659880146597171,0.5879441055917743,4.1129474177748495,0.5944162784900938,1.7252191202759726,circle,1000,0.07245381009821544,0.0,0.08,0.03473186171419725,0.03990683002264748,0.037145431863154894,0.02256263373852347,0.69101350078437,0.11419565663266107,0.11419565663266107,0.11419565663266107,0.06243348556346395,0.5352223586103139,439,False,9.211941359186163,0.30324829515280544,interior_core,-0.423658677182179,0.1912730781023857,27.122078707274383,45,0.29311453088231976,9.357680977692066,0.03928389887850495,0.15773389298180412,0,99,253,6509,0,351,351,98,6509,450,0.35596865878015055,ccpfm,4.1129474177748495,0.5944162784900938,1.7252191202759726,1.0,0.35596865878015055,6.323830348264892e-13,8.878099144737917e-09,6.663182894328656e-09,5.327499108531697e-09,8.274163576516003e-09,6.260765239574084e-09,5.471255448696866e-09,0.0316107722875388,0.0397722763157755,0.035792151492754616,0.02246412635691142,0.0036335570039227605,ok,1.5569586920028087,0,False,
,,,,,0.05296624300535768,,,,,2.0,0.0,0.0,,,,,,,0.0,,,,circle,1002,0.7002881037900767,0.0,0.2,1.0199288006620932,0.9665094662359535,1.2259719938672926,1.4257712216779355,1.0,3.7346177280257136,1.9192630815153315,3.7346177280257136,3.7346177280257136,0.11000000000000006,47,False,41.39034204881994,0.06902336678433268,near_boundary_interior,-0.5231288745400949,0.7200251249938527,46.88108726556097,23,0.3298575396014456,29.476051175193426,0.08159745955696322,0.05907858901757159,,40,21,0,,56,56,35,,96,0.0,wls,,,,,,1.9539925233402755e-14,8.881784197001252e-15,7.216449660063518e-15,1.432187701766452e-14,6.454906054109699e-15,4.440892098500626e-15,9.325873406851315e-15,1.064765292934407,0.9540225043671693,1.3941050149239282,1.601109210801771,0.00031190300069283694,ok,0.05327814600605052,2,False,
,,,,,0.13490019900200423,,,,,2.0,0.0,0.0,,,,,,,0.0,,,,circle,1002,0.6224605043184017,0.0,0.16,0.46772235996707373,0.43568995465228233,0.5378986193380062,0.6513168115269219,1.0,2.301744655566716,0.8660933090018346,2.301744655566716,2.301744655566716,0.08800000000000008,62,False,56.56430061968825,0.04950083711393033,near_boundary_interior,-0.9048086075987769,0.1143039090108568,76.44215612984982,23,0.3036966279957083,44.426723479435964,0.06530214031049061,0.03388714034644248,,50,42,0,,90,90,48,,140,0.0,wls,,,,,,2.4424906541753444e-14,1.1546319456101628e-14,6.439293542825908e-15,1.4210854715202004e-14,9.103828801926284e-15,1.021405182655144e-14,2.609024107869118e-14,0.5221130913582116,0.43667575322209967,0.6511894350039434,0.792615544396108,0.0004986119893146679,ok,0.1353988109913189,2,False,
